Ax,Ay,Az,Gx,Gy,Gz,mov
9.3957,1.8753,3.3434,-3.01,7.84,-0.98,rising
9.2232,1.9687,3.535,3.29,2.03,-0.14,rising
9.8483,1.8873,3.844,1.05,-5.95,2.45,rising
11.8649,2.4836,4.3877,1.47,0.77,1.61,rising
12.0996,2.1388,4.2512,-1.19,-3.43,3.36,rising
10.6794,1.7196,3.7889,-8.19,-4.41,0.14,rising
9.707,1.5472,3.7626,-2.17,7.77,3.78,rising
9.4723,1.5855,3.547,6.16,13.65,-1.33,rising
9.5513,1.6334,3.8967,0.91,1.12,1.05,rising
8.6939,1.7819,3.4273,8.12,-1.47,-1.89,rising
8.088,1.5831,3.0129,1.54,2.87,0.49,rising
6.1432,1.0514,2.4525,2.03,-12.18,-2.45,rising
6.3731,1.0825,2.5723,2.38,-2.66,-0.21,rising
10.0232,1.9591,3.5853,2.1,-3.5,5.95,rising
9.5921,1.8322,3.2692,-0.28,2.94,1.19,rising
9.5058,1.7316,3.3434,0.56,-3.08,2.38,rising
9.5394,1.6693,3.2453,1.47,-6.72,2.45,rising
9.5561,1.7196,3.3339,1.4,-2.87,3.29,rising
9.5202,1.5616,3.1518,0.7,-2.66,2.45,rising
9.5465,1.5208,3.4392,-0.91,-3.08,1.61,rising
9.5681,1.4921,3.0465,-0.7,-0.28,1.82,falling
9.1897,1.3963,2.9722,1.47,1.89,3.43,falling
7.3719,1.2742,2.316,-1.89,-3.64,-3.08,falling
6.8617,1.4035,2.4357,-4.06,-2.87,-4.83,falling
7.8437,1.1352,2.4836,-1.75,9.24,1.96,falling
8.9262,1.1975,2.9914,-2.8,-2.59,0.7,falling
9.8483,1.5639,3.1327,-2.45,-2.03,0.84,falling
10.004,1.7795,3.3291,-2.87,4.06,-3.71,falling
9.6112,1.5927,3.183,-1.61,1.12,-3.5,falling
10.0495,1.6502,3.456,-2.03,-6.58,0.07,falling
10.0615,1.746,3.2932,1.68,2.31,-0.35,falling
11.0746,1.9543,3.6261,0.49,-6.72,4.41,falling
12.7463,2.0885,4.2727,-0.14,-5.25,3.15,falling
10.9572,1.928,3.1351,2.73,1.26,1.05,falling
8.4616,1.2694,2.4908,-2.59,3.99,-7.28,falling
9.1059,2.0214,2.6417,-3.5,0.07,-1.19,falling
9.7118,1.837,3.2668,0.0,1.54,4.69,falling
10.3776,1.6597,3.4369,-1.19,0.91,0.7,falling
12.9714,2.3447,3.5686,-0.49,-5.53,0.56,falling
11.4338,2.1914,3.6907,-2.66,6.72,-3.85,falling
10.2459,1.7939,3.0752,-3.71,-1.61,-0.91,falling
9.5418,1.5496,3.377,-0.7,10.71,-2.66,falling
9.2735,1.7053,3.2836,4.97,12.32,-2.38,falling
9.9465,1.6238,3.5135,13.09,-7.21,0.0,falling
9.0891,1.6406,3.2285,2.73,-0.98,2.87,falling
8.4113,1.6238,2.6273,6.23,-8.05,5.6,falling
6.3109,1.0442,2.2633,4.55,-7.28,-2.45,falling
7.7335,1.2718,2.3639,0.35,7.84,7.98,falling
9.6543,1.7508,3.159,0.21,-18.06,7.84,falling
9.7741,1.54,2.9123,2.87,-1.47,2.66,falling
9.6711,1.643,2.7447,0.35,3.15,3.01,falling
9.707,1.3723,2.8429,-0.7,-1.12,0.07,falling
9.6902,1.4346,2.8453,-0.21,-3.43,1.05,falling
9.7597,1.4849,2.7543,-0.28,1.47,0.49,falling
9.7597,1.3652,2.7686,-0.35,0.91,0.77,falling
9.6256,1.425,2.8956,-0.56,1.89,-0.7,falling
9.5801,1.3963,2.9195,-1.47,0.91,-1.75,falling
9.5058,1.437,2.9962,0.14,0.56,1.19,falling
9.4172,1.3005,2.8022,-0.77,0.28,0.49,falling
9.81,1.4059,2.8477,-2.38,-3.78,-1.19,falling
10.095,1.4562,2.9363,-1.4,6.02,-2.87,rising
9.3645,1.5352,2.7926,-1.96,2.17,-2.87,rising
8.3874,1.176,2.6202,-0.21,-3.57,-0.21,rising
6.4689,1.0706,1.8969,-2.8,-1.96,-3.85,rising
7.0964,1.0945,2.2058,-3.36,9.66,-6.72,rising
9.9681,1.6358,3.3171,-2.52,5.04,0.14,rising
9.6471,1.8226,3.25,-4.27,-0.91,-6.65,rising
10.0184,1.7675,3.5087,-5.53,-0.84,-7.14,rising
10.0136,1.8585,3.2668,-0.63,-3.15,-0.91,rising
10.5525,1.9591,3.5542,2.03,-11.76,2.94,rising
10.8135,1.9903,3.3243,0.42,0.35,1.19,rising
10.7512,1.9112,3.0608,1.47,-1.54,0.84,rising
10.883,1.9543,3.3171,2.03,-1.82,3.36,rising
10.9165,1.9424,3.1758,0.91,-5.04,2.94,rising
9.6376,1.6358,2.9219,0.07,1.19,-0.84,rising
9.5442,1.4753,2.6657,-1.26,1.4,-2.87,rising
9.8196,1.71,2.9435,0.35,1.89,0.28,rising
9.6304,1.6478,3.1303,0.63,-1.68,0.91,rising
12.696,2.201,3.389,-2.17,-1.19,3.36,rising
11.8458,2.3112,3.8368,-3.22,6.3,-3.22,rising
10.5405,1.4969,3.4369,-5.46,-3.85,-3.57,rising
9.3861,1.6071,3.1758,-2.38,17.08,-1.82,rising
9.4627,1.6669,3.1111,6.3,3.92,3.36,rising
10.0902,1.8418,3.2932,10.92,-0.77,4.9,rising
9.3526,1.6262,3.262,4.76,-1.96,0.35,rising
8.9095,1.5687,2.7662,0.98,-7.98,1.47,rising
5.7552,0.8694,1.8849,0.56,-8.33,-4.76,rising
6.3851,1.0203,2.1938,-0.35,-0.49,1.4,rising
10.0998,1.825,3.1399,-0.56,2.66,3.43,rising
9.4867,1.528,3.0249,-0.91,7.28,-0.98,rising
9.4986,1.6765,3.0441,1.82,0.49,2.94,rising
9.5897,1.5424,3.1854,0.7,-4.76,1.54,rising
9.6376,1.6286,3.0081,-0.14,-1.26,1.19,rising
9.5705,1.5496,3.0824,0.63,3.22,0.21,rising
9.5873,1.5208,3.0632,-0.7,0.42,-0.21,rising
9.6328,1.6095,3.1159,-0.42,-1.82,1.75,rising
9.3406,1.5448,3.0177,-1.54,0.91,-0.49,rising
9.5585,1.6023,3.1686,-2.38,5.39,-2.17,rising
9.6926,1.6693,3.3291,-1.75,2.38,-2.24,rising
9.3837,1.6334,2.9842,-0.42,1.68,1.61,rising
8.955,1.5017,3.068,1.4,3.57,-0.42,falling
8.0976,1.4394,2.9076,-1.19,-0.91,-3.22,falling
7.039,1.3221,2.577,-1.4,3.78,-2.38,falling
7.8221,1.3628,2.9147,-1.19,7.49,4.34,falling
9.6447,1.8082,3.5638,-2.31,-1.75,-2.8,falling
9.7765,1.8058,3.5853,-2.52,-0.91,-4.69,falling
9.8914,1.8537,3.7027,-4.55,-3.71,-2.17,falling
10.0303,1.7915,3.5614,-3.99,-4.9,0.0,falling
10.2866,1.9256,3.6931,0.42,0.63,-1.82,falling
10.2124,1.9735,3.5422,-0.07,2.24,-0.56,falling
10.4686,2.0645,3.5327,1.19,2.03,-1.47,falling
10.2579,2.0885,3.7386,0.28,0.56,-1.61,falling
10.9357,2.1292,4.0859,-0.63,-5.74,3.15,falling
9.4148,1.8106,3.5638,-0.7,4.97,-0.77,falling
9.2448,1.6645,3.4416,-1.05,-3.36,-0.14,falling
9.3334,1.7699,3.0992,1.4,2.17,0.42,falling
9.513,1.8993,3.3818,0.63,-2.94,1.82,falling
9.501,1.8298,3.4249,-1.33,2.31,0.28,falling
9.5633,1.7579,3.3842,-0.42,-1.68,0.0,falling
10.4543,1.9088,3.7961,-0.42,1.68,5.11,falling
12.4661,2.2226,4.5721,-0.77,-3.22,-0.28,falling
11.6853,2.1292,3.947,-7.98,7.07,-3.92,falling
10.0591,2.0142,3.7889,-3.85,11.48,-7.28,falling
9.6926,1.7963,3.6165,-1.89,-3.43,5.04,falling
9.731,1.722,3.7147,8.75,-0.42,3.57,falling
9.4292,1.5831,3.3937,11.27,-8.47,3.22,falling
9.6902,1.5568,3.3411,4.2,-5.53,3.57,falling
6.9288,1.2574,2.2609,1.26,-2.87,-1.68,falling
5.5732,0.8598,2.1627,5.04,-11.97,-1.05,falling
9.6376,1.6118,2.9339,3.92,12.53,8.68,falling
9.537,1.6861,3.2979,-2.24,-5.18,-1.68,falling
9.5513,1.528,3.1734,-3.5,6.58,-4.41,falling
9.4986,1.6597,3.3291,0.07,1.33,-3.5,falling
9.4747,1.7795,3.1183,0.84,-2.87,1.89,falling
9.6855,1.5592,3.2381,1.19,-5.95,4.76,falling
9.616,1.6047,3.0201,0.21,-2.52,2.59,falling
9.5801,1.54,3.0513,1.54,-1.26,4.27,falling
9.1801,1.2718,2.9171,1.96,-2.24,7.56,falling
8.8975,1.4921,2.5818,-1.47,-4.06,4.83,falling
7.8509,1.2742,2.419,-3.22,1.05,-3.15,falling
7.2282,1.0275,1.8466,-3.85,9.73,-7.42,falling
9.1753,1.5017,3.1902,-0.35,-0.42,3.36,rising
9.9609,1.552,3.3937,-3.29,3.71,-6.44,rising
10.1166,1.6406,3.5446,-6.72,8.19,-4.76,rising
9.7262,1.6286,3.2405,-3.36,-1.96,-3.57,rising
10.1836,1.8082,3.6213,-1.96,-0.84,-0.35,rising
10.1764,1.7436,3.4871,-1.61,4.06,-3.08,rising
10.1764,1.7651,3.832,-1.05,-3.08,0.98,rising
10.2842,1.9328,3.5087,-0.35,2.8,1.82,rising
10.3944,1.8537,3.6668,-1.19,-1.68,0.91,rising
10.9812,1.9495,3.6811,0.07,-3.78,1.33,rising
9.331,1.6717,3.5638,0.35,0.28,-1.05,rising
9.2735,1.6214,3.1063,-1.4,-2.1,-2.38,rising
9.4196,1.7484,3.2836,-0.35,-0.07,0.7,rising
9.5154,1.5089,3.171,-1.33,-3.64,0.7,rising
9.5418,1.7196,3.0369,0.07,1.96,-0.28,rising
9.6735,1.7579,3.3315,0.21,-0.14,0.28,rising
10.1501,1.8657,3.4153,0.28,0.98,1.82,rising
11.5608,2.213,4.3302,-0.84,-7.42,1.26,rising
11.4745,2.0501,3.8584,-5.95,11.69,-1.61,rising
10.4878,1.7316,4.0787,-8.75,7.84,-6.23,rising
9.4412,1.6645,3.5973,-5.18,5.67,2.73,rising
9.4028,1.8561,3.8248,1.96,2.38,-0.07,rising
9.5705,1.7484,3.6931,3.71,9.59,-1.12,rising
9.2256,1.7987,3.8751,1.4,-7.91,0.0,rising
9.1442,1.7244,3.5877,2.38,-4.76,3.08,rising
6.9168,1.3125,2.3806,5.39,-11.41,1.4,rising
6.2366,1.0227,2.3136,3.64,-12.25,8.33,rising
9.8914,1.6837,3.2045,3.22,1.47,11.2,rising
9.513,1.5113,3.1016,1.54,0.14,1.61,rising
9.6016,1.4825,2.8956,1.75,1.12,1.33,rising
9.6711,1.4945,3.1159,0.14,-3.43,0.49,rising
9.6088,1.4083,3.0632,-1.19,-0.98,0.77,rising
9.6376,1.4849,3.1327,-0.21,3.15,-1.54,rising
9.5873,1.4514,3.0968,-0.14,0.14,0.0,rising
9.5777,1.4921,3.1662,-0.28,-1.19,1.19,rising
9.7094,1.4729,3.1399,0.14,1.96,1.12,rising
9.5298,1.5663,3.1255,-0.21,2.45,0.28,rising
9.3214,1.4873,3.1279,-0.84,10.92,-3.78,rising
8.8209,1.3388,3.4009,-2.38,-4.55,-0.98,rising
7.4725,1.3029,2.6489,-1.4,-5.46,-2.66,falling
6.7156,1.0849,2.3016,-3.5,9.45,-8.89,falling
9.6136,1.8346,3.6572,-4.13,7.49,-0.42,falling
9.5202,1.6885,3.6548,-5.67,8.82,-8.68,falling
9.719,1.7627,3.9494,-5.25,2.66,-3.08,falling
9.6735,1.9448,3.7937,-2.24,-0.98,-0.49,falling
9.5082,1.7124,3.7099,-0.49,-5.25,0.98,falling
9.7022,1.849,3.8632,3.64,-8.26,0.35,falling
10.4447,1.9998,3.9254,2.73,-4.13,3.01,falling
10.5572,1.9687,3.8823,2.59,0.21,1.75,falling
10.8159,1.94,3.9039,0.77,-5.74,1.33,falling
10.7488,1.9519,3.4824,1.26,-5.39,4.06,falling
9.6783,1.7771,3.0752,-0.35,4.34,0.21,falling
9.3047,1.5663,3.1375,0.0,1.05,-2.94,falling
9.4292,1.6885,2.8668,-0.49,-3.99,-0.07,falling
9.5298,1.7076,3.3937,-1.19,-2.45,1.96,falling
10.0112,1.7053,3.4033,-1.89,4.9,0.07,falling
11.4937,2.0477,4.0164,-5.81,0.14,3.29,falling
11.647,2.2058,4.4428,-4.41,3.85,-6.3,falling
10.7177,1.928,3.9901,-6.37,-8.54,-1.47,falling
9.3406,1.849,3.4416,1.4,26.11,-11.34,falling
9.0867,1.6741,3.571,-0.21,10.92,-4.48,falling
9.7334,2.1052,3.8464,-0.7,-6.23,5.18,falling
9.8387,2.0046,4.0835,2.8,-15.96,7.49,falling
9.8004,1.6885,3.765,2.45,-8.26,6.09,falling
9.24,1.7795,3.0345,8.75,-0.98,5.53,falling
5.2858,0.8023,1.2765,15.82,-16.31,3.5,falling
5.7912,0.685,1.8011,7.28,-1.68,-0.21,falling
10.6028,1.6286,3.5159,5.11,6.65,10.92,falling
9.3358,1.4346,3.1159,-0.21,8.33,-6.02,falling
9.5298,1.4825,3.1087,-0.7,5.39,-3.43,falling
9.4675,1.5496,3.2644,-0.56,-2.73,-0.07,falling
9.4891,1.7053,3.262,-0.42,0.7,0.35,falling
9.5537,1.5137,3.3698,0.21,-2.52,0.42,falling
9.4963,1.5113,3.3123,0.63,-1.89,1.05,rising
9.5609,1.5616,3.2237,-1.05,-1.89,0.21,rising
9.4627,1.4562,3.183,0.0,0.0,2.24,rising
9.0053,1.4394,2.862,1.05,1.54,3.5,rising
8.4592,1.1712,2.8932,-1.61,-5.11,-0.56,rising
7.5467,1.1281,2.4693,-3.01,-4.34,-1.89,rising
7.4294,1.1616,2.4501,-2.87,2.38,0.0,rising
9.6304,1.6286,3.1231,-4.06,-0.84,-0.21,rising
9.3478,1.5328,3.1542,-2.87,6.44,-4.06,rising
10.3153,1.6095,3.5183,-6.02,-0.21,-0.63,rising
9.6328,1.6071,3.2788,-4.76,-0.7,-2.73,rising
9.8723,1.6142,3.3602,-3.57,-5.67,-0.98,rising
10.277,1.7723,3.3147,-2.38,-0.98,-1.82,rising
10.3944,1.6837,3.3746,1.54,-0.98,-0.63,rising
10.6578,1.7723,3.4608,1.68,0.28,0.14,rising
10.3321,1.8178,3.5039,1.47,-2.03,-0.49,rising
10.9165,1.9064,3.5853,1.82,-0.91,1.47,rising
9.6639,1.449,3.1423,-1.61,4.06,1.12,rising
9.5082,1.7484,3.0944,-2.03,-0.7,-1.54,rising
9.1394,1.4993,2.9459,-0.63,1.19,1.75,rising
9.7046,1.6502,3.0273,-1.61,1.89,0.14,rising
10.2938,1.8897,3.1566,1.05,1.19,0.42,rising
11.7619,2.0573,3.9039,-0.91,-1.26,5.53,rising
11.3428,2.134,3.856,-2.03,6.93,-4.2,rising
11.3141,1.9543,3.7746,-2.66,-3.01,-1.82,rising
9.3765,1.8202,3.6668,-1.26,13.37,-7.14,rising
9.0939,1.4586,3.2596,-2.94,2.66,0.77,rising
9.7573,1.722,3.5566,1.47,-2.8,3.71,rising
9.7549,1.6238,3.4871,6.93,-9.45,2.8,rising
9.4076,1.3388,3.3937,17.43,-3.29,4.13,rising
9.0125,1.5999,2.9866,6.65,-0.42,5.18,rising
6.9815,1.2454,2.134,6.79,-1.96,-4.27,rising
6.2462,0.685,2.0166,4.48,-1.12,1.61,rising
10.1597,1.9495,2.9962,7.49,-10.5,11.69,rising
9.8651,1.6334,2.9578,1.05,5.39,-1.75,rising
9.6088,1.4514,2.862,1.82,4.69,3.85,rising
9.5873,1.5807,3.0201,-1.12,-3.5,0.07,rising
9.7573,1.4825,2.9842,-0.98,1.19,-0.84,rising
9.5609,1.5041,3.159,-0.56,5.74,-1.54,rising
9.5202,1.5903,3.0297,-0.28,-1.68,0.0,falling
9.6998,1.5759,3.1542,-2.8,-0.49,-0.56,falling
9.7238,1.5304,2.9698,-0.98,-4.69,-2.73,falling
9.5849,1.552,3.1423,0.98,6.37,-1.96,falling
9.5489,1.6166,3.068,0.49,-0.28,1.89,falling
9.5418,1.6047,3.195,-0.28,-2.1,0.35,falling
9.604,1.552,3.0129,0.98,2.1,0.98,falling
9.2304,1.54,2.9123,0.84,-4.9,5.11,falling
9.2999,1.4011,3.0321,-0.91,-2.1,3.64,falling
8.464,1.2885,2.6561,-4.9,2.73,-0.56,falling
7.3767,1.0083,2.3902,-6.16,3.71,-8.4,falling
7.7718,1.2215,2.6968,-2.73,2.38,-4.2,falling
9.1538,1.6789,3.2165,-2.87,1.82,-4.97,falling
10.1261,1.9136,3.5806,-5.95,7.14,-5.67,falling
9.695,1.7029,3.3698,-5.04,-0.63,1.61,falling
9.8986,1.7053,3.7482,-1.4,-4.41,0.84,falling
9.834,1.837,3.4512,-0.56,1.47,-4.13,falling
10.107,1.9448,3.3722,2.03,-3.43,-3.92,falling
10.1118,1.904,3.5782,1.05,-0.63,0.7,falling
10.4016,1.8873,3.4943,1.96,-2.59,1.54,falling
10.38,1.837,3.6356,0.56,-1.54,3.71,falling
10.5549,1.9615,3.4752,-0.28,-3.64,4.62,falling
9.9753,1.8322,3.3698,-0.35,-1.4,0.98,falling
9.3214,1.6142,3.1351,-2.45,1.33,-1.47,falling
9.0771,1.5999,2.989,-0.14,4.13,-1.54,falling
9.2903,1.643,3.2596,-0.07,-2.31,-1.26,falling
9.6256,1.6669,3.4129,-1.05,3.85,0.42,falling
10.3153,1.94,3.5422,-0.63,2.66,-1.89,falling
11.9703,2.3783,4.0907,-1.68,1.82,6.02,falling
11.5655,2.1603,4.6751,-2.1,-0.84,-2.87,falling
10.768,1.9855,3.7578,-0.91,0.7,1.12,falling
8.9717,1.6478,3.5111,0.21,14.07,-5.95,falling
8.9238,1.6645,3.4536,-1.47,3.71,-0.91,falling
9.3621,1.8609,3.444,0.91,-3.01,2.17,falling
9.4076,1.8346,3.6811,3.29,-6.37,0.14,falling
9.1609,1.813,3.2764,9.17,1.33,0.21,falling
9.0843,1.8801,3.1471,9.52,-1.89,5.32,falling
7.3982,1.3963,2.7399,9.31,-1.47,-0.42,falling
6.833,1.2981,2.6321,4.69,4.34,0.77,falling
9.5058,2.0142,3.2285,3.5,4.48,5.81,falling
9.5082,1.8011,3.6356,-1.61,-1.75,-1.19,falling
9.4124,1.7388,3.2692,2.45,1.82,2.38,falling
9.4052,1.7555,3.4273,1.05,-3.57,3.92,falling
9.5465,1.7076,3.4105,0.28,-3.5,0.14,falling
9.5465,1.643,3.2788,-1.19,-1.33,0.7,falling
9.5082,1.6909,3.3363,-0.7,0.98,0.56,rising
9.4963,1.6861,3.2548,0.28,-0.7,-0.35,rising
9.513,1.7053,3.2932,-0.07,-1.19,-0.42,rising
9.5585,1.7436,3.3506,-0.21,-0.07,0.98,rising
9.5274,1.6286,3.286,0.14,-0.63,0.49,rising
9.5513,1.7196,3.286,0.35,-0.07,0.28,rising
9.5561,1.6717,3.2812,-1.12,0.49,0.49,rising
9.5394,1.6334,3.2548,-0.14,1.89,-1.26,rising
9.5058,1.7508,3.2716,-0.21,0.63,0.28,rising
9.4915,1.6933,3.377,-0.42,1.4,-0.28,rising
9.4627,1.7005,3.3027,0.28,-1.54,0.49,rising
9.5633,1.7508,3.3746,-0.14,-0.77,-0.91,rising
9.4771,1.6813,3.3626,-0.28,1.33,-0.42,rising
9.5202,1.7651,3.3698,-0.77,1.4,-0.49,rising
9.4699,1.7316,3.4057,-0.56,-0.21,-0.49,rising
9.4316,1.6621,3.3913,-0.21,-0.84,0.98,rising
9.4124,1.6981,3.353,0.28,-0.56,1.19,rising
9.3142,1.6574,3.2812,2.31,0.07,4.06,rising
9.0628,1.6621,3.0704,0.91,-4.48,1.61,rising
8.4808,1.5544,3.0225,-0.7,3.57,-4.2,rising
7.7311,1.37,2.2753,-4.06,-4.9,-4.27,rising
7.3695,1.2861,2.6704,-0.98,-0.91,-0.77,rising
9.525,1.8585,3.2932,-1.54,0.35,0.14,rising
9.8148,1.8825,3.4967,-2.24,3.5,-2.03,rising
9.7022,1.7484,3.365,-1.33,-3.22,-2.03,rising
9.4651,1.8202,3.48,-0.14,-1.12,-0.56,rising
9.604,1.9376,3.3075,-0.91,-1.19,-1.47,rising
10.0327,2.043,3.5111,0.35,-3.01,0.0,rising
10.6794,2.0358,3.638,0.0,1.47,0.07,rising
10.0327,1.8801,3.6979,1.54,-1.4,-0.56,rising
9.8411,1.9328,3.5422,0.91,0.98,-1.33,rising
10.2579,2.043,3.5327,0.63,-3.01,2.38,rising
10.756,2.1004,3.6308,-1.19,-5.81,1.96,rising
9.4819,1.9304,3.1303,-1.75,6.79,-2.52,rising
9.4028,1.7939,3.2524,-0.98,1.12,-2.03,rising
9.4963,1.8657,3.25,-0.35,-2.66,2.31,rising
9.5729,1.9184,3.1542,-1.19,0.07,0.98,rising
9.6064,1.8993,3.4728,-0.14,1.33,-0.56,rising
9.4603,1.8011,3.3363,0.0,1.75,0.49,rising
9.5346,1.7987,3.2644,-0.49,-0.63,0.07,rising
9.7022,1.7555,3.4967,-0.35,-0.63,2.31,rising
12.3152,2.4094,4.5146,0.21,-4.55,1.96,rising
11.9248,2.1675,3.947,-3.78,9.38,-0.56,rising
10.3585,1.7915,3.8153,-6.23,4.83,-1.82,rising
9.2376,1.7053,3.4464,-2.59,10.71,-0.91,rising
9.0628,1.6981,3.6764,-0.35,-0.28,1.47,rising
9.5753,1.6741,3.6764,2.8,-8.12,0.98,rising
9.3765,1.6813,3.4776,5.39,-2.66,1.19,rising
9.0771,1.8226,3.1782,2.38,0.91,0.7,rising
7.1276,1.2263,2.6872,5.32,-6.65,1.68,rising
6.3851,1.0394,2.328,5.67,2.17,-0.98,rising
